data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6763290,231,ETH1596,1596,2011-11-18,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,North Shewa (Oromia),Kuyu,Kuyu,9.8000,38.4000,1,All Africa,Regional,"On the evening of 18 November 2011 at about 8:00 p.m. local time, an OLA unit of Northern Oromiya Command infiltrated into an enemy camp located in Kuyu County at a place called Malka Wachiti, killings even weyane (TPLF) troops and wounding more than 12 others.",7,1580160983,ETH
4937672,231,ETH1595,1595,2011-11-16,2011,1,Battles,Non-state actor overtakes territory,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,1,All Africa,Regional,"Ogaden rebels capture a military base. The Ethiopian casualties in this operation are 12 dead and more than 16 wounded, some very seriously.",12,1552577526,ETH
4937941,231,ETH1593,1593,2011-11-07,2011,1,Riots,Mob violence,Police Forces of Ethiopia (1995-2018),,1,Rioters (Ethiopia),,5,15,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.3500,42.8000,3,All Africa,Regional,At least one Ethiopian was killed and three other were injured as residents fought Ethiopian police forces in Bali-dhiig district of Togdheer Region in the breakaway region of Somaliland.,1,1552577526,ETH
4937942,231,ETH1594,1594,2011-11-07,2011,1,Strategic developments,Arrests,Police Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.3500,42.8000,3,All Africa,Regional,Arrests: A large group of police enter a mosque and attempt to detain religious leaders before armed residents resist.,0,1552577526,ETH
4938228,231,ETH1592,1592,2011-10-29,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.3500,42.8000,3,All Africa,Regional,"ONLF/A fighters attack government soldiers, kill 85 and capture many AK-47s in the southeast.",85,1552577527,ETH
4938284,231,ETH1591,1591,2011-10-27,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,East Harerghe,Babile,Babile,9.2167,42.3333,1,All Africa,Regional,"Clashes between ONLF/A and weyane soldiers results in the death of 22, plus 17 injured.",22,1552577527,ETH
4938315,231,ETH1589,1589,2011-10-26,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,East Harerghe,Babile,Babile,9.2167,42.3333,2,All Africa,Regional,"ONLF/A fighters rescue civilians from their weyane abductors, clash with them.",0,1552577527,ETH
4938316,231,ETH1590,1590,2011-10-26,2011,2,Violence against civilians,Abduction/forced disappearance,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Oromia,East Harerghe,Babile,Babile,9.2167,42.3333,2,All Africa,Regional,"Weyane soldiers abduct Ogaden civilians, reports of mistreatment. The abductions lead to numerous clashes with the ONLA in following days.",0,1552577527,ETH
4938780,231,ETH1588,1588,2011-10-12,2011,1,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Korahe,Shilabo,Shilabo,6.0917,44.7636,1,All Africa,Regional,ONLF/A fighters use a remote control explosive against a weyane convoy inflicting heavy causalities.,0,1552577527,ETH
6341447,231,ETH1587,1587,2011-10-04,2011,1,Violence against civilians,Attack,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.3500,42.8000,3,Local Source; All Africa,Subnational-Regional,Government forces kill a boy and middle aged man in the southeast portion of the country.,2,1574110418,ETH
6763289,231,ETH1584,1584,2011-09-29,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,OLF: Oromo Liberation Front,,2,12,Eastern Africa,Ethiopia,Oromia,North Shewa (Oromia),Hidabu Abote,Abole,9.8667,38.4500,2,All Africa,Regional,"An OLA commando unit ambushed weyane soldiers at a place called Salal Qala in Abote District, North Shewa Zone, killing seven soldiers on the spot and seriously wounding 12 others.",7,1580160983,ETH
4939560,231,ETH1583,1583,2011-09-20,2011,1,Battles,Armed clash,Military Forces of Ethiopia (1995-2018),,1,ONLF: Ogaden National Liberation Front,,2,12,Eastern Africa,Ethiopia,Somali,Fafan,Kebribeyah,Kebri Beyah,9.1036,43.1747,1,All Africa,Regional,ONLA fighters carried out an attack against Ethiopian troops who were deployed at a place called Moyaha in Kebri Beyah.,0,1552577528,ETH
6341445,231,ETH1581,1581,2011-09-18,2011,1,Violence against civilians,Attack,ONLF: Ogaden National Liberation Front,,2,Civilians (International),Civilians (China),7,27,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,2,Local Source; All Africa,Subnational-Regional,"ONLA units carried out a heavy attack on Chinese oil firm PetroTrans and Ethiopian troops guarding them at a place called Iley, near Obale in the district of Degeh Bur, Jerar Province, where they were conducting oil exploration activity. Thirty government troops killed.",30,1574110418,ETH
6341446,231,ETH1582,1582,2011-09-18,2011,1,Violence against civilians,Attack,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,2,All Africa; Local Source,Subnational-Regional,"Ethiopian troops go into a blind rage after and attack by ONLA, kill a civilian.",1,1574110418,ETH
